name,kind,description
absorption,Marker,"Indicates a chiller which uses absorption driven by hot water (as opposed to vapor compression)."
ac,Marker,"Indicates an alternating current (AC) electrical quantity or device."
active,Marker,"Applied to an electrical power point to indicate active power or real power typically measured in ""kW""."
ahu,Marker,"Air Handler Unit which heats and/or cools air."
ahuRef,Ref,"Associate an entity such as a vav with an ahu. References equip id"
air,Marker,"Point associated with the measurement or control of air."
airCooled,Marker,"Indicates chiller which uses air to cool the hot refrigerant."
angle,Marker,"Indicates an angle measurement."
apparent,Marker,"Applied to an electrical power point to indicate apparent power typically measured in ""kVA""."
area,Number,"Floor area of a site measured in ft² or m²."
avg,Marker,"Indicates an average quantity."
barometric,Marker,"Defines the mean atmospheric pressure at sea level measured in millibar or inHg."
blowdown,Marker,"Paired with water to indicate control or measurement of the blowdown water expelled from a coolingTower or boiler to remove mineral build up."
boiler,Marker,"Boiler equip used to generate hot water or steam for heating."
bypass,Marker,"If used with valve indicates a by-pass in a piping system."
centrifugal,Marker,"Indicates chiller compressor which uses a continuous flow of fluid through an impeller."
chilled,Marker,"Marker tag used with water for the chilled water system between the plant and ahu."
chilledBeamZone,Marker,"Marker for an ahu which delivers air to zones via chilled beam terminal units."
chilledWaterCool,Marker,"Indicates that a unit has cooling capability using chilled water."
chilledWaterPlant,Marker,"Models the entire plant and its system of equipment used to generate chilled water."
chilledWaterPlantRef,Ref,"Associate a record such as an ahu with its chilledWaterPlant. References equip id"
chiller,Marker,"Chillers remove heat from a liquid via a vapor compression or an absorption refrigeration cycle."
circ,Marker,"Indicates a pump designed to circulate a fluid through an equipment such as a boiler."
circuit,Marker,"An equip which models an electric circuit housed in an elecPanel."
closedLoop,Marker,"Indicates coolingTower which keeps the working fluid separate from the fluid used for heat transfer into the atmosphere."
cloudage,Marker,"The fraction of the sky obscured by clouds."
cmd,Marker,"Classifies a point as an output AO/BO command or actuator."
co,Marker,"Carbon monoxide level point measured in ""ppm""."
co2,Marker,"Carbon dioxide level point measured in ""ppm""."
coldDeck,Marker,"Associated with the cold air ductwork in a dualDuct or tripleDuct AHU."
condensate,Marker,"Paired with water to indicate control or measurement of the condensate water in a coolingTower or boiler."
condenser,Marker,"When combined with the water tag this indicates points in a condenser water system between a chiller and coolingTower."
connection,Marker,"Marker tag for a logical network connection between two devices using a specific communications protocol."
constantVolume,Marker,"Marks an ahu as delivering a constant volume of air flow."
cool,Marker,"Cooling coil as bool or numeric point used with ahu equip."
cooling,Marker,"Indicates a cooling only VAV without a fan."
coolingCapacity,Number,"Associated with the cooling mode of an HVAC system."
coolingTower,Marker,"Measurement of a chiller ability to remove heat measured in ""tonref"" ""BTU/h"" or ""kW""."
coolOnly,Marker,"Cooling towers are used to transfer process waste heat to the atmosphere."
